origin_cluster,destination_cluster,avg_dest_proba,avg_dest_cust_count
1,3,0.240514747,69
1,8,0.058308117,7.5
1,46,0.019436039,2.5
2,77,0.075302791,143
2,3,0.020720714,32.5
2,78,0.015380303,23.5
3,55,0.015674808,245
3,42,0.012315997,197
3,22,0.010827561,165.5
4,5,0.066347835,182.8333333
4,25,0.013229927,29
4,55,0.011405109,25
5,4,0.048318829,21.5
5,46,0.035443038,14
5,13,0.012102632,5
6,44,0.119118249,26
6,13,0.082037643,14.5
6,1,0.047539894,8
7,44,0.057792894,31.5
7,46,0.028270928,9.5
7,6,0.027067041,12.25
8,1,0.133389827,35
8,12,0.071344762,22.5
8,13,0.03346153,5
9,78,0.018654035,103
9,38,0.012869888,69.5
9,35,0.011728952,64.5
10,44,0.093469316,29.5
10,24,0.056513122,9.5
10,1,0.035889909,10
11,53,0.052004539,97
11,18,0.04933159,99.5
11,58,0.048089564,92
12,46,0.273906944,43.5
12,8,0.050619593,5
12,13,0.038461538,1
13,1,0.052135275,48.5
13,71,0.009145192,7
13,46,0.007921293,6
14,55,0.020819082,214
14,70,0.017891157,161.5
14,23,0.010114222,105.5
15,78,0.021923429,201
15,38,0.016310267,151.5
15,35,0.015451261,145
16,53,0.031761824,65.5
16,11,0.031551943,63.5
16,47,0.029359126,71
17,46,0.155630685,342
17,12,0.014658797,35
17,45,0.010309541,25
18,76,0.055387238,144
18,65,0.053368203,141
18,52,0.042095679,111
19,31,0.080168974,164
19,18,0.042659184,90
19,76,0.024241621,52.5
20,63,0.023564265,194.5
20,62,0.01448985,125.5
20,42,0.014349055,123.5
21,50,0.039143386,15.5
21,51,0.02357713,10
21,13,0.019969345,9
22,3,0.093675751,355.5
22,25,0.069202514,266.5
22,39,0.032405117,121.5
23,71,0.062255231,163
23,17,0.059371679,157.5
23,53,0.044285753,117
24,79,0.096184169,24
24,8,0.03043204,4
24,10,0.029564806,8.5
25,55,0.015465884,214
25,56,0.009932781,143.5
25,22,0.009926753,137.5
26,31,0.076869906,217
26,52,0.046466186,134.5
26,65,0.032552251,95
27,80,0.079832819,288
27,62,0.024483583,85
27,35,0.020974668,73
28,73,0.022941784,51.5
28,70,0.015244524,35
28,47,0.014699369,35.5
29,7,0.057758975,17
29,8,0.033345085,8.5
29,59,0.032434338,8
30,62,0.017161731,80.5
30,36,0.014222658,67
30,64,0.012818154,57
31,52,0.052614235,140
31,44,0.051411863,129.5
31,65,0.0451879,116.5
32,62,0.015427396,63
32,36,0.014885063,61.5
32,64,0.010174368,40
33,69,0.013935961,48.5
33,77,0.013702142,48
33,62,0.011991729,38
34,63,0.011212738,45
34,42,0.006781687,28.5
34,73,0.006235898,24
35,26,0.053698023,148.5
35,60,0.042025072,117.5
35,31,0.034625565,94
36,18,0.05487947,156
36,76,0.028644896,83
36,60,0.018587739,55.5
37,63,0.018682939,190.5
37,42,0.008448575,89.5
37,78,0.00778163,81.5
38,75,0.036186261,127
38,23,0.032548679,112.5
38,58,0.028770707,96.5
39,3,0.432802126,2512
39,22,0.0210165,120.5
39,42,0.01456724,84.5
40,53,0.05733701,131
40,23,0.045421657,113.5
40,76,0.039095976,92.5
41,67,0.016020538,15.5
41,33,0.010195694,10.5
41,2,0.008359698,9
42,56,0.043540462,132
42,11,0.034517619,98.5
42,75,0.031546257,94
43,73,0.011688786,38.5
43,70,0.006934193,20.5
43,16,0.006909173,24
44,46,0.112348739,113
44,13,0.09166697,88
44,6,0.036875701,35.5
45,71,0.148778568,154.5
45,17,0.069428975,74
45,13,0.021252818,20
46,12,0.047763287,46
46,13,0.035998095,26
46,44,0.026421877,19.5
47,18,0.025583195,59
47,53,0.024358871,56.5
47,11,0.018732887,44
48,73,0.014282586,106
48,16,0.01087585,85
48,64,0.010630858,79.5
49,55,0.029311929,274.5
49,70,0.01460339,134
49,40,0.013052864,125.5
50,68,0.047706301,107
50,25,0.034889713,100
50,21,0.028998066,68
51,68,0.051680116,35
51,21,0.050328627,37
51,41,0.005928719,4
52,17,0.13240232,249
52,44,0.077152015,147
52,46,0.046779609,84
53,71,0.08491069,233.5
53,17,0.047809473,133.5
53,76,0.043877188,120
54,63,0.012171672,35.5
54,62,0.01004253,32.5
54,73,0.009025682,27.5
55,53,0.03953309,260
55,76,0.025916268,175
55,40,0.025308657,179
56,11,0.02993673,65.5
56,40,0.027474689,66
56,18,0.025846581,58.5
57,73,0.012647659,103
57,56,0.011862521,108.5
57,63,0.010562387,93
58,65,0.062856519,107
58,53,0.046576892,81.5
58,52,0.044775882,76
59,79,0.064167567,14
59,7,0.061341534,16.5
59,44,0.059284349,8
60,45,0.047929645,95
60,35,0.044247788,75
60,65,0.043238391,86
61,24,0.048031832,14.5
61,7,0.047741699,22
61,59,0.039416655,12.5
62,26,0.051521941,210
62,19,0.039086845,153
62,18,0.025672808,104.5
63,20,0.077657151,505.5
63,37,0.07692406,499
63,34,0.044226277,287.5
64,19,0.037083973,102
64,18,0.030097081,80.5
64,60,0.023340843,62.5
65,71,0.164982545,324
65,44,0.051042311,103
65,13,0.047576478,91.5
66,31,0.084061066,143
66,58,0.045773605,83.5
66,53,0.018110384,35
67,55,0.014429002,45.5
67,22,0.011234452,35
67,69,0.008356447,25
68,21,0.07921254,55.5
68,50,0.054612056,37
68,51,0.048186389,37
69,33,0.020693722,23
69,31,0.008197096,8
69,73,0.008168028,7
70,53,0.056581886,154
70,76,0.041981823,115
70,55,0.022003527,49.5
71,13,0.146052904,430
71,45,0.018171963,56.5
71,1,0.009001671,32.5
72,58,0.034528598,70
72,66,0.032415962,67
72,60,0.031102282,60.5
73,19,0.036058087,119
73,11,0.035660345,120.5
73,66,0.02460656,88
74,33,0.02190691,26
74,67,0.008534917,10
74,40,0.007673488,9.5
75,23,0.051885355,111
75,58,0.04628752,95.5
75,65,0.037884049,79
76,71,0.101440689,214
76,17,0.064324722,137.5
76,45,0.028291319,64.5
77,33,0.024220565,56
77,2,0.007408025,17.5
77,67,0.006960191,16.5
78,26,0.042331527,195
78,75,0.034622893,161
78,66,0.032129912,141.5
79,44,0.122013878,52.5
79,24,0.078926615,30.5
79,13,0.028011724,11.5
80,27,0.02391612,117
80,62,0.017345856,83
80,36,0.017069849,84
